ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
1452,49340,1,1,1,1
1453,49340,1,1,1,1
1460,15764,1,1,1,1
1462,15764,0.001375786,0,0,0.001282756
1462,49340,0.998624214,1,1,0.998717244
1463,15764,1,1,1,1
1464,15764,1,1,1,1
1467,49340,0,0,1,1
1468,49340,1,1,1,1
1469,15764,1,1,1,1
1472,15764,0,0,1,1
1473,49340,1,1,1,1
1474,15764,1,1,1,1
1475,49340,1,1,1,1
1501,49340,1,1,1,1
1503,49340,1,1,1,1
1504,14454,0.002939604,0.013513514,0,0.003231419
1504,49340,0.997060396,0.986486486,1,0.996768581
1505,49340,1,1,1,1
1506,49340,1,1,1,1
1507,49340,1,1,1,1
1508,49340,1,0,1,1
1509,49340,1,0,1,1
1510,49340,1,1,1,1
1515,49340,1,1,1,1
1516,49340,1,1,1,1
1518,49340,1,1,1,1
1519,49340,1,1,1,1
1520,49340,1,1,1,1
1521,44140,1,1,1,1
1522,49340,1,1,1,1
1523,49340,1,1,1,1
1524,49340,1,1,1,1
1525,49340,1,1,1,1
1526,49340,0,0,1,1
1527,49340,1,1,1,1
1529,49340,1,1,1,1
1531,49340,1,1,1,1
1532,49340,0.997414842,0.998913043,1,0.997660211
1532,15764,0.002585158,0.001086957,0,0.002339789
1534,49340,1,1,1,1
1535,49340,1,1,1,1
1536,49340,1,1,1,1
1537,49340,1,1,1,1
1538,49340,1,1,1,1
1540,49340,1,1,1,1
1541,49340,1,1,1,1
1542,49340,1,1,1,1
1543,49340,1,1,1,1
1545,49340,1,1,1,1
1546,49340,0,1,1,1
1550,49340,1,1,1,1
1560,49340,1,1,1,1
1561,49340,0,0,1,1
1562,49340,1,1,1,1
1564,49340,1,1,1,1
1566,49340,1,1,1,1
1568,49340,1,1,1,1
1569,49340,1,1,1,1
1570,49340,1,1,1,1
1571,49340,1,1,1,1
1581,49340,1,1,1,1
1583,49340,1,1,1,1
1585,49340,1,1,1,1
1586,49340,1,1,1,1
1588,49340,1,1,1,1
1590,49340,1,1,1,1
1601,49340,1,1,1,1
1602,49340,1,1,1,1
1603,49340,1,1,1,1
1604,49340,1,1,1,1
1605,49340,1,1,1,1
1606,49340,1,1,1,1
1607,49340,1,1,1,1
1608,49340,1,1,1,1
1609,49340,1,1,1,1
1610,49340,1,1,1,1
1611,49340,1,1,1,1
1612,49340,1,1,1,1
1613,49340,1,1,1,1
1614,49340,0,0,1,1
1653,49340,0,1,0,1
1655,49340,0,1,1,1
1701,15764,1,1,1,1
1702,15764,1,1,1,1
1703,15764,1,1,1,1
1704,15764,1,1,1,1
1718,15764,1,1,0,1
1719,15764,1,1,1,1
1720,15764,1,1,1,1
1721,15764,1,1,1,1
1730,15764,1,1,1,1
1731,15764,1,1,1,1
1740,49340,1,1,1,1
1741,15764,1,1,1,1
1742,15764,1,1,1,1
1745,49340,1,1,1,1
1746,15764,1,1,1,1
1747,49340,1,1,1,1
1748,15764,1,1,1,1
1749,49340,0.000863838,0.001043841,0,0.000852515
1749,15764,0.999136162,0.998956159,1,0.999147485
1752,15764,0.99957372,1,1,0.999640708
1752,49340,0.00042628,0,0,0.000359292
1754,15764,1,1,1,1
1756,14454,0.001132503,0,0,0.001011463
1756,49340,0.998867497,1,1,0.998988537
1757,49340,1,1,1,1
1760,15764,0.999295369,1,1,0.999402499
1760,14454,0.000704631,0,0,0.000597501
1770,15764,1,1,1,1
1772,49340,1,1,1,1
1773,15764,1,1,1,1
1775,15764,1,1,1,1
1776,15764,1,1,1,1
1778,15764,1,1,1,1
1784,15764,0,0,1,1
1801,15764,1,1,1,1
1803,15764,1,1,1,1
1805,15764,0,1,0,1
